id,label,content,weight,text_weight,emo_weight
5.25E+17,0,Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,0.834846079,0.944443464,-0.060284499
5.25E+17,0,Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http://t.co/mskjnJAlvE,0.856403768,0.953826249,-0.166387066
5.25E+17,0,Shooting at the war memorial in Ottawa. http://t.co/1Z0p4Mj5Vw,0.843678772,0.921218812,-0.279669447
5.25E+17,0,After today we will officially be done shooting for the #SurrenderMusicVideo !! It's looking AMAZING so far btw! #cantwait,0.798521519,0.906327844,0.209006661
5.25E+17,0,"KEY: Nothing in Wilson's story in new autopsy says he feared for his life or life of another, which is only legal justification for shooting",0.727840483,0.860643923,0.079576186
5.25E+17,0,Ottawa police confirm a shooting at Canada's National War Memorial - @CBCOttawa http://t.co/JbjNKv3eGa,0.858882666,0.940510213,-0.257562306
5.25E+17,0,#BREAKING: Shooting reported at the War Memorial in Ottawa,0.738559604,0.907477975,-0.279669447
5.25E+17,0,"#BREAKINGNEWS: Update - One person shot at War Memorial in Ottawa, police say http://t.co/chbTWxVN0q http://t.co/twKD3QCyTt",0.870835006,0.94848913,-0.075358934
5.25E+17,0,The scene at the War Memorial in Ottawa http://t.co/wZoQFDtZAo http://t.co/crY3JEx5sI,0.815615773,0.911707819,-0.325613929
5.25E+17,0,"Ottawa police tactical officers are here and very kindly pointed their guns at every reporter, ordering hands in the air and us to ground",0.743159592,0.86283952,0.055134711
5.25E+17,0,Police with guns drawn at seen of war memorial shooting. @ctvottawa http://t.co/QP3k6mqqH9,0.855527759,0.939535856,-0.257562306
5.25E+17,0,Canine unit running to Parliament Hill http://t.co/jaEeh0JIpc,0.819877982,0.922972202,-0.297387349
5.25E+17,0,"Parliament shooting a very active situation still at the moment. They are searching the building, presumably for a suspect or suspects.",0.702870548,0.782145143,0.089768984
5.25E+17,0,.@pmharper is safe and has left Parliament Hill.,0.746689379,0.921188474,-0.090681945
5.25E+17,0,A reminder for those observing the shooting on Parliament Hill: DO NOT tweet police locations and movements #ottcity #ottawa,0.81419915,0.945395827,0.077007293
5.25E+17,0,"BREAKING: Injury reported after shooting at Canada’s War Memorial, near country’s Parliament, police say. http://t.co/k5lmH7nmsE",0.888275146,0.946997881,-0.164844151
5.25E+17,0,"Spokesperson for PMO says Prime Minister Stephen Harper safe, has left Parliament Hill. #cdnpoli",0.705902815,0.906795382,-0.077593165
5.25E+17,0,#BREAKING: PMO says PM Harper is safe and has left Parliament Hill,0.718262196,0.872133315,-0.090681945
5.25E+17,0,RCMP advises people to stay away from Parliament Hill due to ongoing police incident.,0.687344074,0.856115103,-0.175353668
5.25E+17,0,Parliament Hill is never going to be the same.,0.481150031,0.882581711,0.158978308
5.25E+17,0,"Canada Prime Minister Stephen Harper safe, has left parliament Hill: TV quoting PM's office",0.646154165,0.842477024,-0.077593165
5.25E+17,0,The RCMP intervention team members Parliament Hill http://t.co/aO700DweOW http://t.co/6JDil29s3B,0.810703874,0.947701097,-0.174764646
5.25E+17,0,Please stay inside and stay safe if you are in the downtown core right now #Ottawa We are here for anyone who needs to talk 613-238-3311,0.777555585,0.893215656,0.129713064
5.25E+17,0,"Our thoughts are with everyone involved in what is happening on Parliament Hill and Confederation Square this morning. Stay safe, Ottawa.",0.699460983,0.889818072,0.086343168
5.25E+17,0,"Dear confused right-wing friends: my article was about Monday's car incident, not the Ottawa shooting this morning https://t.co/dPCtNJW3mv",0.840607285,0.941977024,0.124679026
5.25E+17,0,"Prime Minister Stephen Harper is safe and has left Parliament Hill, spokesman says - @CBCAlerts https://t.co/wCqPcyqMxK",0.839253187,0.923694432,-0.060097669
5.25E+17,0,"Ok so we were on a tour at that war monument in Ottawa a few minutes ago, a few seconds later there was a shooting..😳 http://t.co/yzCtBlGZ2v",0.839370608,0.935398579,0.180270662
5.25E+17,0,MORE: A spokesman says Prime Minister Stephen Harper was safe and had left Parliament Hill: http://t.co/utTbmsYFjL,0.81867373,0.943321705,0.039921801
5.25E+17,0,"Canada's Prime Minister Stephen Harper safe &amp; has left Parliament Hill, which is under lockdown after shooting http://t.co/rk4c3kcwUQ",0.837533832,0.918631136,-0.033226505
5.25E+17,0,#Ottawa City Hall is currently in lock-down. Please avoid the area.,0.692341805,0.91896528,-0.456685632
5.25E+17,0,Shooting at War Memorial - part of the area has been evacuated - Avoid Rideau Center and surroundings @uOttawa Protection monitoring,0.766104579,0.89027983,-0.058419009
5.25E+17,0,Thoughts are with those in Ottawa today #Parliament #besafe,0.809467852,0.92359376,0.298363152
5.25E+17,0,BREAKING: Police: Shooting incident reported near Canadian Parliament.Spokesperson: Prime Minister Harper "is safe" - @WorldNews,0.797181964,0.926711142,-0.053639438
5.25E+17,0,"To all in Ottawa, stay safe &amp; strong. Thank God for Sgt at Arms Kevin Vickers &amp; our Cdn security forces. True heroes #cndpoli",0.808897078,0.932443857,0.252815956
5.25E+17,0,There's already a flurry of Muslim hate tweets from Canada with what little details we know of Ottawa. Come on. We are better than this.,0.7396667,0.905852318,0.317925105
5.25E+17,0,RCMP advises people to stay away from Parliament Hill due to ongoing police incident.,0.687344074,0.856115103,-0.175353668
5.25E+17,0,This isn't my #Ottawa.,0.722218513,0.913748384,0.404992478
5.25E+17,0,"Please, no partisan commentary about what’s happening in Ottawa. Leave the damned politics for another day.",0.722739279,0.910740376,0.146731139
